data_size_mb,insert_throughput,get_throughput,scan_throughput
100,2531969.920461,38672.359491,28515.134157
200,2307909.759830,28174.856597,21529.451132
300,2081422.188319,25988.572014,20456.738417
400,2285588.896388,21233.414389,15986.453131
500,2507286.389795,18423.182235,12855.004892
600,1434156.050872,19365.302632,14341.241154
700,2383971.404927,17593.272454,12319.410485
800,2087117.393034,16785.162191,12395.922026
900,2251456.730784,23559.101055,15904.535507
1000,2441727.584934,15683.994340,10474.260040
1000,2441727.584934,16093.842138,10739.345390
